TransactionID,CustomerID,TransactionDate,ProductID,Amount,PaymentType,Country,MerchantID,IsFraudulent,Category,CustomerAge,CustomerEmailDomain,TransactionTime,ProductDescription,Quantity,IPAddress,DeviceID,TransactionStatus
1,103,2023-01-01 00:00:00,31,50000.0,Debit Card,France,1169,0,Books,25.0,hotmail.com,00:00:00,Poor,8.0,,824,Cancelled
2,436,2023-01-01 01:00:00,24,75000.0,Debit Card,Australia,1550,0,Books,25.0,gmail.com,00:45:00,Average,3.0,172.16.0.1,924,Cancelled
3,349,2023-01-01 02:00:00,99,100000.0,Wire Transfer,USA,1454,0,Electronics,65.0,gmail.com,01:30:00,Average,5.0,127.0.0.1,850,Pending
4,271,2023-01-01 03:00:00,60,125000.0,PayPal,Australia,1650,0,Sports,,gmail.com,02:15:00,Average,7.0,10.0.0.1,78,Completed
5,107,2023-01-01 04:00:00,45,150000.0,Credit Card,France,1291,0,Clothing,55.0,yahoo.com,03:00:00,Average,,127.0.0.1,440,Completed
6,72,2023-01-01 05:00:00,98,288.14,Wire Transfer,UK,1563,0,Books,18.0,example.com,03:45:00,Average,6.0,127.0.0.1,752,Completed
7,189,2023-01-01 06:00:00,3,819.12,Debit Card,USA,1798,0,Clothing,60.0,gmail.com,04:30:00,Good,2.0,,549,Failed
8,21,2023-01-01 07:00:00,37,533.94,Debit Card,Germany,1800,0,Clothing,30.0,example.com,05:15:00,Poor,8.0,,232,Failed
9,103,2023-01-01 08:00:00,43,880.46,Debit Card,Canada,1140,0,Books,35.0,yahoo.com,06:00:00,Poor,5.0,,400,Cancelled
10,122,2023-01-01 09:00:00,40,576.91,PayPal,Germany,1145,0,Sports,50.0,gmail.com,06:45:00,Good,6.0,,213,Completed
11,467,2023-01-01 10:00:00,90,34.52,Debit Card,Canada,1424,0,Clothing,40.0,yahoo.com,07:30:00,Poor,1.0,,193,Failed
12,215,2023-01-01 11:00:00,55,677.04,Wire Transfer,Australia,1313,0,Home & Garden,30.0,example.com,08:15:00,Good,2.0,192.168.1.1,572,Cancelled
13,331,2023-01-01 12:00:00,87,49.63,Wire Transfer,USA,1183,0,Clothing,,example.com,09:00:00,Good,4.0,,701,Pending
14,459,2023-01-01 13:00:00,39,453.34,Debit Card,USA,1663,0,Books,50.0,gmail.com,09:45:00,Good,9.0,127.0.0.1,267,Pending
15,88,2023-01-01 14:00:00,15,,Wire Transfer,Canada,1712,0,Electronics,,example.com,10:30:00,Poor,6.0,10.0.0.1,126,Completed
16,373,2023-01-01 15:00:00,4,169.38,Debit Card,UK,1127,0,Clothing,,hotmail.com,11:15:00,Poor,8.0,192.168.1.1,715,Pending
